time (ms), temperature (C), humidity (%), he (ppm), iaq, tvoc (ppb), eco2 (ppm), iaqr, h2 (ppb), ethanol (ppb), lux, als, white, ori_x (m/s^2), ori_y (m/s^2), ori_z (m/s^2), gyro_x (rad), gyro_y (rad), gyro_z (rad), linear_x (m/s^2), linear_y (m/s^2), linear_z (m/s^2), magnetic_x (?T), magnetic_y (?T), magnetic_z (?T), acceleration_x (m/s^2), acceleration_y (m/s^2), acceleration_z (m/s^2), gravity_x (m/s^2), gravity_y (m/s^2), gravity_z (m/s^2), x_pos (m), y_pos (m), head (m)
2226, 26.33, 51.65, 0,  , 0, 400,  , 12381, 16219, 2830.74, 5329, 9456, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2710, 26.29, 51.64, 0,  , 0, 400,  , 12579, 16356, 2824.31, 5309, 9454, 0.00, -85.31, -175.31, -0.01, -0.02, 0.01, -0.16, -0.07, -0.08, 13.38, -6.06, 32.69, -9.88, 0.85, -0.21, -9.77, 0.79, -0.04, -18740.48, -8198.96, -0.08
3192, 26.29, 51.62, 0,  , 0, 400,  , 12727, 16452, 2828.99, 5318, 9398, 358.12, -85.00, -4.94, -0.16, -0.00, 0.03, -0.15, -0.48, -0.15, 13.38, -6.38, 33.25, -9.92, 0.37, -0.12, -9.76, 0.85, 0.02, -36164.78, -63956.72, -0.07
3673, 26.30, 51.67, 0,  , 0, 400,  , 12851, 16533, 2820.81, 5304, 9288, 356.12, -84.12, -5.75, -0.05, 0.00, 0.00, -0.17, 0.05, -0.43, 13.56, -7.00, 32.19, -9.95, 0.94, -0.28, -9.75, 0.99, 0.10, -55830.47, -58172.69, -0.08
4156, 26.29, 51.64, 0,  , 0, 400,  , 12960, 16602, 2829.57, 5319, 9297, 356.50, -84.56, -5.38, 0.02, 0.03, -0.06, -0.21, -0.37, -0.01, 13.56, -6.38, 32.56, -9.97, 0.54, 0.08, -9.76, 0.91, 0.10, -80325.81, -101331.16, -0.10
4639, 26.27, 51.69, 0,  , 0, 400,  , 13053, 16662, 2824.31, 5309, 9317, 356.50, -84.62, -5.31, -0.00, -0.02, 0.01, -0.12, 0.20, -0.09, 14.06, -6.38, 32.56, -9.88, 1.11, -0.07, -9.76, 0.91, 0.02, -94323.15, -78002.26, -0.06
5119, 26.29, 51.66, 0,  , 0, 400,  , 13127, 16708, 2820.22, 5313, 9280, 355.62, -84.38, -5.56, 0.02, 0.03, -0.03, -0.06, 0.09, 0.04, 14.38, -4.69, 33.69, -9.82, 1.04, 0.08, -9.76, 0.95, 0.03, -101235.15, -67634.26, -0.03
5601, 26.27, 51.71, 0,  , 0, 400,  , 13192, 16732, 2813.80, 5278, 9323, 356.62, -85.56, -175.56, 0.00, -0.01, -0.02, -0.17, -0.32, -0.09, 16.19, -1.00, 32.00, -9.95, 0.42, -0.16, -9.77, 0.74, -0.07, -120982.69, -104806.10, -0.08
6080, 26.29, 51.69, 0,  , 0, 400,  , 13250, 16769, 2810.88, 5287, 9306, 356.31, -85.44, -175.44, -0.00, -0.00, -0.03, -0.13, -0.03, 0.00, 17.06, -2.56, 33.38, -9.91, 0.74, -0.04, -9.77, 0.77, -0.05, -135896.35, -108247.71, -0.06
6563, 26.29, 51.72, 0,  , 0, 400,  , 13294, 16791, 2806.21, 5279, 9313, 356.38, -85.56, -175.56, -0.01, -0.01, -0.00, -0.12, 0.06, 0.00, 17.06, -1.06, 34.38, -9.90, 0.82, -0.07, -9.77, 0.75, -0.06, -149893.69, -101249.04, -0.06
