2226 - 0m :2s : 226ms :     tm 26.33, hd 51.65, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 12381, eth 16219, lux 2830.74, als 5329, wh 9456, ori 0.00 0.00 0.00, gyr 0.00 0.00 0.00, lin 0.00 0.00 0.00, mag 0.00 0.00 0.00, accl 0.00 0.00 0.00, grav 0.00 0.00 0.00, xpos 0.00, ypos 0.00, head 0.00
2710 - 0m :2s : 710ms :     tm 26.29, hd 51.64, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 12579, eth 16356, lux 2824.31, als 5309, wh 9454, ori 0.00 -85.31 -175.31, gyr -0.01 -0.02 0.01, lin -0.16 -0.07 -0.08, mag 13.38 -6.06 32.69, accl -9.88 0.85 -0.21, grav -9.77 0.79 -0.04, xpos -18740.48, ypos -8198.96, head -0.08
3192 - 0m :3s : 192ms :     tm 26.29, hd 51.62, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 12727, eth 16452, lux 2828.99, als 5318, wh 9398, ori 358.12 -85.00 -4.94, gyr -0.16 -0.00 0.03, lin -0.15 -0.48 -0.15, mag 13.38 -6.38 33.25, accl -9.92 0.37 -0.12, grav -9.76 0.85 0.02, xpos -36164.78, ypos -63956.72, head -0.07
3673 - 0m :3s : 673ms :     tm 26.30, hd 51.67, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 12851, eth 16533, lux 2820.81, als 5304, wh 9288, ori 356.12 -84.12 -5.75, gyr -0.05 0.00 0.00, lin -0.17 0.05 -0.43, mag 13.56 -7.00 32.19, accl -9.95 0.94 -0.28, grav -9.75 0.99 0.10, xpos -55830.47, ypos -58172.69, head -0.08
4156 - 0m :4s : 156ms :     tm 26.29, hd 51.64, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 12960, eth 16602, lux 2829.57, als 5319, wh 9297, ori 356.50 -84.56 -5.38, gyr 0.02 0.03 -0.06, lin -0.21 -0.37 -0.01, mag 13.56 -6.38 32.56, accl -9.97 0.54 0.08, grav -9.76 0.91 0.10, xpos -80325.81, ypos -101331.16, head -0.10
4639 - 0m :4s : 639ms :     tm 26.27, hd 51.69, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 13053, eth 16662, lux 2824.31, als 5309, wh 9317, ori 356.50 -84.62 -5.31, gyr -0.00 -0.02 0.01, lin -0.12 0.20 -0.09, mag 14.06 -6.38 32.56, accl -9.88 1.11 -0.07, grav -9.76 0.91 0.02, xpos -94323.15, ypos -78002.26, head -0.06
5119 - 0m :5s : 119ms :     tm 26.29, hd 51.66, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 13127, eth 16708, lux 2820.22, als 5313, wh 9280, ori 355.62 -84.38 -5.56, gyr 0.02 0.03 -0.03, lin -0.06 0.09 0.04, mag 14.38 -4.69 33.69, accl -9.82 1.04 0.08, grav -9.76 0.95 0.03, xpos -101235.15, ypos -67634.26, head -0.03
5601 - 0m :5s : 601ms :     tm 26.27, hd 51.71, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 13192, eth 16732, lux 2813.80, als 5278, wh 9323, ori 356.62 -85.56 -175.56, gyr 0.00 -0.01 -0.02, lin -0.17 -0.32 -0.09, mag 16.19 -1.00 32.00, accl -9.95 0.42 -0.16, grav -9.77 0.74 -0.07, xpos -120982.69, ypos -104806.10, head -0.08
6080 - 0m :6s : 80ms :     tm 26.29, hd 51.69, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 13250, eth 16769, lux 2810.88, als 5287, wh 9306, ori 356.31 -85.44 -175.44, gyr -0.00 -0.00 -0.03, lin -0.13 -0.03 0.00, mag 17.06 -2.56 33.38, accl -9.91 0.74 -0.04, grav -9.77 0.77 -0.05, xpos -135896.35, ypos -108247.71, head -0.06
6563 - 0m :6s : 563ms :     tm 26.29, hd 51.72, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 13294, eth 16791, lux 2806.21, als 5279, wh 9313, ori 356.38 -85.56 -175.56, gyr -0.01 -0.01 -0.00, lin -0.12 0.06 0.00, mag 17.06 -1.06 34.38, accl -9.90 0.82 -0.07, grav -9.77 0.75 -0.06, xpos -149893.69, ypos -101249.04, head -0.06
7045 - 0m :7s : 45ms :     tm 26.27, hd 51.67, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 13341, eth 16823, lux 2803.29, als 5274, wh 9291, ori 356.44 -85.56 -175.56, gyr -0.01 -0.00 -0.00, lin -0.09 0.03 -0.01, mag 17.06 -1.88 33.69, accl -9.86 0.78 -0.07, grav -9.77 0.74 -0.06, xpos -160348.27, ypos -97764.18, head -0.04
7525 - 0m :7s : 525ms :     tm 26.26, hd 51.70, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 13379, eth 16843, lux 2799.79, als 5266, wh 9291, ori 356.44 -85.56 -175.56, gyr 0.01 0.01 -0.00, lin -0.12 0.06 -0.07, mag 17.88 -1.88 34.06, accl -9.90 0.81 -0.15, grav -9.77 0.74 -0.07, xpos -174172.27, ypos -90852.18, head -0.06
8011 - 0m :8s : 11ms :     tm 26.26, hd 51.67, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 13411, eth 16869, lux 2797.46, als 5269, wh 9296, ori 356.38 -85.56 -175.56, gyr -0.00 -0.00 0.01, lin -0.11 0.01 0.07, mag 17.06 -1.50 34.06, accl -9.87 0.80 -0.02, grav -9.77 0.75 -0.07, xpos -187163.05, ypos -89671.20, head -0.05
8496 - 0m :8s : 496ms :     tm 26.29, hd 51.68, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 13452, eth 16895, lux 2800.96, als 5270, wh 9313, ori 356.38 -85.50 -175.56, gyr 0.00 0.00 -0.00, lin -0.10 -0.01 0.03, mag 17.88 -1.06 33.69, accl -9.88 0.73 -0.05, grav -9.77 0.75 -0.08, xpos -198924.30, ypos -90847.33, head -0.05
8978 - 0m :8s : 978ms :     tm 26.26, hd 51.62, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 13482, eth 16918, lux 2802.13, als 5272, wh 9319, ori 356.31 -85.50 -175.50, gyr -0.06 0.01 0.04, lin -0.02 -0.56 0.31, mag 17.75 -2.25 32.00, accl -9.80 0.19 0.22, grav -9.77 0.76 -0.08, xpos -201247.54, ypos -155898.05, head -0.01
9460 - 0m :9s : 460ms :     tm 26.27, hd 51.66, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 13513, eth 16940, lux 2799.21, als 5267, wh 9302, ori 355.62 -85.44 -175.44, gyr 0.03 0.03 0.05, lin -0.23 0.32 -1.19, mag 20.25 -4.00 28.69, accl -10.01 1.10 -1.24, grav -9.77 0.77 -0.05, xpos -227964.80, ypos -118726.21, head -0.11
9941 - 0m :9s : 941ms :     tm 26.26, hd 51.66, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 13539, eth 16963, lux 2800.96, als 5265, wh 9287, ori 355.12 -85.38 -175.44, gyr -0.06 0.06 -0.00, lin -0.04 0.00 0.29, mag 19.75 -3.38 29.56, accl -9.82 0.78 0.23, grav -9.77 0.77 -0.05, xpos -232592.02, ypos -118726.21, head -0.02
10428 - 0m :10s : 428ms :     tm 26.25, hd 51.62, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 13559, eth 16980, lux 2796.29, als 5262, wh 9254, ori 355.06 -85.50 -4.44, gyr -0.01 0.09 -0.02, lin -0.14 -0.35 0.53, mag 20.69 -5.25 28.50, accl -9.92 0.41 0.54, grav -9.77 0.76 0.00, xpos -249193.85, ypos -160230.78, head -0.07
10910 - 0m :10s : 910ms :     tm 26.26, hd 51.67, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 13584, eth 16999, lux 2784.04, als 5241, wh 9298, ori 355.81 -85.56 -175.81, gyr 0.03 0.02 -0.00, lin -0.11 0.17 0.14, mag 20.50 -5.00 28.88, accl -9.88 0.88 -0.11, grav -9.77 0.71 -0.25, xpos -261971.67, ypos -140483.24, head -0.05
11391 - 0m :11s : 391ms :     tm 26.26, hd 51.61, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 13605, eth 17026, lux 2782.88, als 5239, wh 9325, ori 355.81 -85.56 -175.88, gyr -0.05 -0.08 -0.01, lin -0.19 -0.22 -0.43, mag 19.56 -4.88 29.50, accl -9.89 0.43 -0.55, grav -9.77 0.70 -0.26, xpos -283950.97, ypos -165932.95, head -0.09
11874 - 0m :11s : 874ms :     tm 26.26, hd 51.63, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 13616, eth 17033, lux 2803.29, als 5274, wh 9212, ori 354.69 -85.12 -4.75, gyr -0.09 0.05 -0.01, lin -0.01 0.44 0.01, mag 17.19 -4.06 29.69, accl -9.78 1.26 0.09, grav -9.77 0.82 0.07, xpos -285117.41, ypos -114609.37, head -0.00
12358 - 0m :12s : 358ms :     tm 26.23, hd 51.61, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 13635, eth 17051, lux 2797.46, als 5260, wh 9245, ori 355.31 -85.38 -175.38, gyr -0.03 -0.06 -0.05, lin -0.44 0.01 -0.34, mag 17.69 -3.69 29.56, accl -10.22 0.79 -0.43, grav -9.77 0.78 -0.08, xpos -336653.73, ypos -113438.09, head -0.21
12839 - 0m :12s : 839ms :     tm 26.23, hd 51.65, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 13660, eth 17075, lux 2791.62, als 5259, wh 9218, ori 355.19 -85.44 -4.50, gyr -0.04 -0.02 -0.02, lin -0.14 -0.09 0.35, mag 19.88 -4.56 25.56, accl -9.92 0.67 0.36, grav -9.77 0.77 0.01, xpos -352849.00, ypos -123849.34, head -0.07
13323 - 0m :13s : 323ms :     tm 26.26, hd 51.65, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 13676, eth 17092, lux 2789.29, als 5250, wh 9199, ori 355.12 -85.56 -4.38, gyr -0.02 -0.01 -0.01, lin -0.10 0.00 0.09, mag 20.38 -5.06 25.75, accl -9.87 0.58 0.27, grav -9.77 0.75 0.04, xpos -364561.80, ypos -123849.34, head -0.05
13809 - 0m :13s : 809ms :     tm 26.23, hd 51.67, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 13683, eth 17100, lux 2789.87, als 5251, wh 9180, ori 354.94 -85.50 -4.44, gyr -0.05 0.01 -0.01, lin -0.20 -0.16 0.06, mag 19.25 -6.06 25.75, accl -9.97 0.59 0.14, grav -9.77 0.76 0.08, xpos -388181.40, ypos -142745.02, head -0.10
14292 - 0m :14s : 292ms :     tm 26.23, hd 51.64, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 13703, eth 17129, lux 2789.29, als 5250, wh 9186, ori 355.12 -85.50 -4.44, gyr -0.01 -0.03 -0.01, lin -1.60 0.08 0.19, mag 20.00 -5.75 25.56, accl -11.37 0.84 0.27, grav -9.77 0.75 0.08, xpos -574812.61, ypos -133413.46, head -0.78
14774 - 0m :14s : 774ms :     tm 26.25, hd 51.67, he 0, iaq , tvoc 5189, eco2 400, iaqr , h2 13718, eth 17142, lux 2791.04, als 5246, wh 9180, ori 355.19 -85.56 -4.38, gyr 0.01 0.01 0.01, lin -0.06 0.29 -0.05, mag 20.06 -6.19 26.25, accl -9.84 1.05 0.01, grav -9.77 0.75 0.07, xpos -581753.44, ypos -99866.11, head -0.03
15257 - 0m :15s : 257ms :     tm 26.22, hd 51.70, he 0, iaq , tvoc 5074, eco2 400, iaqr , h2 13731, eth 17144, lux 2789.29, als 5253, wh 9209, ori 355.38 -85.69 -4.25, gyr -0.01 0.02 -0.00, lin -0.14 -0.16 0.00, mag 20.06 -5.75 25.56, accl -9.90 0.85 0.00, grav -9.77 0.73 0.04, xpos -598083.67, ypos -118529.23, head -0.07
15743 - 0m :15s : 743ms :     tm 26.22, hd 51.68, he 0, iaq , tvoc 4899, eco2 400, iaqr , h2 13744, eth 17170, lux 2786.37, als 5245, wh 9248, ori 355.38 -85.62 -4.31, gyr 0.01 -0.03 0.01, lin -0.11 0.18 -0.24, mag 20.75 -5.50 27.88, accl -9.89 0.93 -0.22, grav -9.77 0.74 0.01, xpos -611074.45, ypos -97271.59, head -0.05
16226 - 0m :16s : 226ms :     tm 26.25, hd 51.70, he 0, iaq , tvoc 4743, eco2 400, iaqr , h2 13762, eth 17189, lux 2791.04, als 5253, wh 9230, ori 355.31 -85.56 -4.31, gyr 0.04 -0.00 -0.01, lin -0.07 -0.21 -0.41, mag 20.75 -6.19 26.25, accl -9.85 0.53 -0.36, grav -9.77 0.74 0.04, xpos -619239.56, ypos -121766.94, head -0.03
16709 - 0m :16s : 709ms :     tm 26.23, hd 51.72, he 0, iaq , tvoc 4648, eco2 400, iaqr , h2 13765, eth 17193, lux 2788.71, als 5249, wh 9210, ori 355.19 -85.62 -4.31, gyr 0.01 0.01 -0.01, lin -0.13 -0.02 -0.26, mag 19.00 -5.50 27.06, accl -9.91 0.71 -0.17, grav -9.77 0.74 0.08, xpos -634403.35, ypos -124099.83, head -0.06
17196 - 0m :17s : 196ms :     tm 26.20, hd 51.73, he 0, iaq , tvoc 4507, eco2 400, iaqr , h2 13776, eth 17198, lux 2788.12, als 5260, wh 9266, ori 355.38 -85.75 -4.19, gyr 0.02 0.01 0.00, lin -0.13 0.07 -0.27, mag 19.25 -6.56 26.75, accl -9.91 0.79 -0.20, grav -9.77 0.72 0.07, xpos -649819.33, ypos -115798.91, head -0.06
17679 - 0m :17s : 679ms :     tm 26.23, hd 51.74, he 0, iaq , tvoc 4382, eco2 400, iaqr , h2 13793, eth 17222, lux 2806.79, als 5270, wh 9289, ori 355.50 -85.75 -4.19, gyr -0.01 0.01 0.00, lin -0.15 -0.12 -0.34, mag 19.69 -5.50 26.75, accl -9.93 0.59 -0.28, grav -9.78 0.71 0.05, xpos -667316.01, ypos -129796.25, head -0.07
18160 - 0m :18s : 160ms :     tm 26.22, hd 51.76, he 0, iaq , tvoc 4237, eco2 400, iaqr , h2 13804, eth 17230, lux 2799.79, als 5268, wh 9270, ori 355.38 -85.75 -4.19, gyr -0.00 -0.01 0.01, lin -0.11 0.20 0.00, mag 19.00 -5.06 26.75, accl -9.89 0.92 0.09, grav -9.77 0.71 0.08, xpos -680040.86, ypos -106660.15, head -0.05
18643 - 0m :18s : 643ms :     tm 26.22, hd 51.78, he 0, iaq , tvoc 4026, eco2 400, iaqr , h2 13817, eth 17257, lux 2793.96, als 5258, wh 9264, ori 355.69 -85.94 -3.94, gyr 0.00 0.00 0.01, lin -0.14 -0.08 -0.18, mag 20.06 -5.38 25.88, accl -9.93 0.59 -0.11, grav -9.78 0.68 0.06, xpos -696371.09, ypos -115991.71, head -0.07
19124 - 0m :19s : 124ms :     tm 26.20, hd 51.74, he 0, iaq , tvoc 3916, eco2 400, iaqr , h2 13825, eth 17259, lux 2793.37, als 5257, wh 9253, ori 355.62 -85.88 -4.00, gyr 0.01 0.00 0.00, lin -0.11 -0.10 0.03, mag 20.06 -4.69 25.19, accl -9.89 0.58 0.09, grav -9.78 0.69 0.06, xpos -709095.95, ypos -127559.76, head -0.05
19608 - 0m :19s : 608ms :     tm 26.20, hd 51.79, he 0, iaq , tvoc 3875, eco2 400, iaqr , h2 13841, eth 17282, lux 2794.54, als 5266, wh 9259, ori 355.75 -86.00 -3.94, gyr 0.01 -0.00 -0.01, lin -0.10 -0.09 0.07, mag 18.25 -5.75 26.00, accl -9.91 0.61 0.00, grav -9.78 0.67 0.06, xpos -720808.75, ypos -138101.28, head -0.05
20093 - 0m :20s : 93ms :     tm 26.20, hd 51.82, he 0, iaq , tvoc 3655, eco2 400, iaqr , h2 13846, eth 17289, lux 2789.87, als 5249, wh 9221, ori 355.75 -86.06 -3.88, gyr -0.03 0.00 0.01, lin -0.31 0.16 -0.16, mag 20.06 -5.75 26.38, accl -10.10 0.83 -0.09, grav -9.78 0.66 0.07, xpos -757268.62, ypos -119283.28, head -0.15
20573 - 0m :20s : 573ms :     tm 26.19, hd 51.81, he 0, iaq , tvoc 3570, eco2 400, iaqr , h2 13858, eth 17300, lux 2784.63, als 5242, wh 9216, ori 355.69 -86.06 -3.88, gyr -0.01 0.01 -0.00, lin -0.13 0.03 -0.06, mag 20.06 -5.75 26.00, accl -9.92 0.69 0.00, grav -9.78 0.66 0.07, xpos -772244.62, ypos -115827.28, head -0.06
21057 - 0m :21s : 57ms :     tm 26.20, hd 51.83, he 0, iaq , tvoc 3474, eco2 400, iaqr , h2 13866, eth 17317, lux 2786.37, als 5245, wh 9231, ori 355.88 -86.19 -3.75, gyr -0.00 0.00 -0.01, lin -0.16 0.04 -0.17, mag 20.38 -5.38 25.50, accl -9.94 0.68 -0.10, grav -9.78 0.64 0.07, xpos -790985.10, ypos -111142.16, head -0.08
21540 - 0m :21s : 540ms :     tm 26.16, hd 51.87, he 0, iaq , tvoc 3339, eco2 400, iaqr , h2 13874, eth 17322, lux 2783.46, als 5240, wh 9246, ori 356.06 -86.31 -3.62, gyr 0.01 -0.03 -0.01, lin -0.12 -0.18 0.03, mag 19.69 -5.00 25.56, accl -9.90 0.44 0.10, grav -9.78 0.62 0.06, xpos -804982.44, ypos -132138.17, head -0.06
22021 - 0m :22s : 21ms :     tm 26.16, hd 51.88, he 0, iaq , tvoc 3309, eco2 400, iaqr , h2 13882, eth 17334, lux 2782.29, als 5246, wh 9267, ori 355.62 -86.25 -3.69, gyr -0.00 -0.01 -0.02, lin -0.06 0.28 -0.02, mag 20.19 -5.69 26.75, accl -9.90 0.85 -0.19, grav -9.78 0.63 0.01, xpos -811923.27, ypos -99747.63, head -0.03
22508 - 0m :22s : 508ms :     tm 26.17, hd 51.87, he 0, iaq , tvoc 3168, eco2 400, iaqr , h2 13891, eth 17355, lux 2793.96, als 5250, wh 9290, ori 356.25 -86.56 -3.38, gyr 0.01 -0.01 0.02, lin -0.12 0.22 -0.44, mag 19.75 -5.00 25.56, accl -9.91 0.80 -0.39, grav -9.78 0.57 0.04, xpos -826153.41, ypos -73659.04, head -0.06
22992 - 0m :22s : 992ms :     tm 26.16, hd 51.92, he 0, iaq , tvoc 3020, eco2 400, iaqr , h2 13903, eth 17364, lux 2792.79, als 5256, wh 9272, ori 355.88 -86.25 -3.62, gyr 0.00 0.02 -0.02, lin -0.12 -0.16 0.11, mag 19.00 -4.88 25.19, accl -9.91 0.45 0.20, grav -9.78 0.62 0.09, xpos -840208.77, ypos -92399.52, head -0.06
23476 - 0m :23s : 476ms :     tm 26.17, hd 51.97, he 0, iaq , tvoc 2988, eco2 400, iaqr , h2 13907, eth 17365, lux 2790.46, als 5252, wh 9286, ori 356.00 -86.38 -3.56, gyr -0.02 0.01 -0.01, lin -0.13 0.00 -0.18, mag 19.38 -5.19 27.06, accl -9.92 0.52 -0.14, grav -9.78 0.60 0.05, xpos -855435.41, ypos -92399.52, head -0.06
23962 - 0m :23s : 962ms :     tm 26.15, hd 51.95, he 0, iaq , tvoc 2974, eco2 400, iaqr , h2 13918, eth 17390, lux 2798.62, als 5266, wh 9298, ori 356.12 -86.44 -3.50, gyr 0.02 -0.03 -0.01, lin -0.10 -0.13 0.00, mag 19.75 -5.19 25.56, accl -9.88 0.46 0.06, grav -9.78 0.60 0.06, xpos -867245.21, ypos -107752.26, head -0.05
24441 - 0m :24s : 441ms :     tm 26.16, hd 51.98, he 0, iaq , tvoc 2955, eco2 400, iaqr , h2 13919, eth 17387, lux 2790.46, als 5255, wh 9290, ori 356.31 -86.56 -3.31, gyr -0.00 -0.01 -0.01, lin -0.14 0.11 -0.06, mag 19.06 -5.56 26.00, accl -9.93 0.68 0.00, grav -9.78 0.57 0.07, xpos -883306.08, ypos -95133.01, head -0.07
