Time,Min,Sec,MS,Temperature,Humidity,Heater,TVOC,CO2,H2,Ethanol,Orientation_X,Orientation_Y,Orientation_Z,Gyrometer_X,Gyrometer_Y,Gyrometer_Z,Gyrometer_Total,Linear_X,Linear_Y,Linear_Z,Linear_Total,Magnetic_X,Magnetic_Y,Magnetic_Z,Magnetic_Total,Acceleration_X,Acceleration_Y,Acceleration_Z,Acceleration_Total,Gravity_X,Gravity_Y,Gravity_Z,Gravity_Total,Position_X,Position_Y,Position_Head
1671,0,1,671,20.9,33.07,0,0,400,14862,18745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1850,0,1,850,20.91,33.04,0,0,400,14864,18747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,0,2,26,20.93,33.11,0,0,400,14874,18764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2207,0,2,207,20.93,33.1,0,0,400,14874,18760,0,0.31,38.25,-0,-0,0,0,0,0.63,-0.92,-0.29,-1.06,40.75,18.06,57.75,0.05,-5.43,6.77,1.39,0.05,-6.07,7.69,1.67,0,10319.71,0
2001,0,2,1,20.93,30.73,0,0,400,14121,17965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2180,0,2,180,20.94,30.77,0,0,400,14166,17986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2356,0,2,356,20.93,30.81,0,0,400,14204,18015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2535,0,2,535,20.94,30.81,0,0,400,14237,18040,0.31,-27.38,-129.12,-0,-0,-0.01,-0.01,-0.27,0.41,-0.16,-0.02,14.25,-16.5,21.25,19,-4.78,7.16,-5.66,-3.28,-4.51,6.75,-5.49,-3.25,-4325.54,6568.4,-0.05
2716,0,2,716,20.94,30.87,0,0,400,14275,18058,0.31,-27.44,-129.12,-0,-0.01,-0,-0.01,-0.02,-0.07,0.1,0.01,13.56,-16.5,17.06,14.12,-4.54,6.67,-5.38,-3.25,-4.51,6.74,-5.49,-3.26,-4653.15,5421.77,-0
2900,0,2,900,20.96,30.84,0,0,400,14305,18083,0.38,-27.44,-129.06,-0.01,0.01,-0,0,-0.01,-0.03,0.05,0.01,13.56,-15.88,18.25,15.93,-4.53,6.71,-5.42,-3.24,-4.52,6.75,-5.48,-3.25,-4822.43,4913.93,-0
3083,0,3,83,20.94,30.92,0,0,400,14349,18124,0.31,-27.44,-129.06,-0.01,0.01,0,0,-0.02,0.03,0.02,0.03,12.19,-16.5,17.88,13.57,-4.52,6.76,-5.36,-3.12,-4.52,6.75,-5.48,-3.25,-5157.32,5416.26,-0
3269,0,3,269,20.91,30.92,0,0,400,14365,18123,0.19,-27.38,-129.12,-0.01,0,-0,-0.01,0,0.15,-0.07,0.08,12.75,-16.5,18.69,14.94,-4.52,6.91,-5.56,-3.17,-4.51,6.75,-5.49,-3.25,-5157.32,8010.97,0
3452,0,3,452,20.89,30.88,0,0,400,14393,18151,0.25,-27.44,-129.12,-0.01,-0,0,-0.01,0,-0.06,-0.03,-0.09,15,-18,17.88,14.88,-4.51,6.69,-5.52,-3.34,-4.52,6.75,-5.49,-3.26,-5157.32,7006.3,0
3634,0,3,634,20.9,30.96,0,0,400,14415,18164,0.19,-27.44,-129.06,-0,-0.01,-0.01,-0.02,0,0.02,-0.19,-0.17,13.19,-23.06,18,8.13,-4.54,6.78,-5.5,-3.26,-4.51,6.75,-5.49,-3.25,-5157.32,7337.54,0
3820,0,3,820,20.89,30.98,0,0,400,14441,18180,0.31,-27.44,-129.06,-0.01,-0.01,-0.01,-0.03,-0.04,0.11,0.19,0.26,17.88,-17.69,21,21.19,-4.57,6.87,-5.28,-2.98,-4.52,6.75,-5.48,-3.25,-5849.24,9240.32,-0.01
4002,0,4,2,20.91,31.02,0,0,400,14462,18212,0.44,-27.62,-129,-0.01,-0.01,-0.02,-0.04,0,-0.25,-0.3,-0.55,26,-20.06,24.56,30.5,-4.55,6.48,-5.78,-3.85,-4.55,6.74,-5.47,-3.28,-5849.24,5099.82,0
4192,0,4,192,20.9,30.99,0,0,400,14486,18230,0.56,-27.81,-129,-0.01,-0,-0.02,-0.03,0,-0.13,-0.23,-0.36,24.19,-23,23.88,25.07,-4.58,6.6,-5.69,-3.67,-4.57,6.73,-5.46,-3.3,-5849.24,2753.32,0
4372,0,4,372,20.89,31.02,0,0,400,14496,18235,0.69,-27.94,-129,-0,-0.01,-0.02,-0.03,0.02,0.05,0,0.07,17.56,-36.25,25.19,6.5,-4.57,6.78,-5.46,-3.25,-4.59,6.73,-5.45,-3.31,-5525.24,3563.32,0
4555,0,4,555,20.9,31.05,0,0,400,14512,18252,0.81,-28,-129,0,-0.01,-0.01,-0.02,0.01,0.11,-0.11,0.01,9.88,-42,21.38,-10.74,-4.6,6.83,-5.56,-3.33,-4.61,6.72,-5.44,-3.33,-5357.79,5405.21,0
4739,0,4,739,20.86,31.07,0,0,400,14526,18270,0.88,-28.06,-129,-0,-0.01,-0.01,-0.02,0.12,0.41,-0.25,0.28,10.25,-41.69,19.5,-11.94,-4.48,7.13,-5.7,-3.05,-4.61,6.72,-5.44,-3.33,-3326.43,12345.69,0.02
4924,0,4,924,20.86,31.1,0,0,400,14539,18277,1,-28.06,-129,0.01,-0.01,-0,0,0,-0.08,0.04,-0.04,10.69,-43.06,20.56,-11.81,-4.61,6.63,-5.39,-3.37,-4.62,6.72,-5.44,-3.34,-3326.43,10976.69,0
