11806 - 0m :11s : 806ms :     tm 20.56, hd 32.52, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 11785, eth 16337, ori 0.00 0.00 0.00, gyr 0.00 0.00 0.00, lin 0.00 0.00 0.00, mag 0.00 0.00 0.00, accl 0.00 0.00 0.00, grav 0.00 0.00 0.00, xpos 0.00, ypos 0.00, head 0.00
11997 - 0m :11s : 997ms :     tm 20.55, hd 32.53, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 11882, eth 16416, ori 0.00 0.00 0.00, gyr 0.00 0.00 0.00, lin 0.00 0.00 0.00, mag 0.00 0.00 0.00, accl 0.00 0.00 0.00, grav 0.00 0.00 0.00, xpos 0.00, ypos 0.00, head 0.00
12173 - 0m :12s : 173ms :     tm 20.55, hd 32.45, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 11983, eth 16480, ori 0.00 0.00 0.00, gyr 0.00 0.00 0.00, lin 0.00 0.00 0.00, mag 0.00 0.00 0.00, accl 0.00 0.00 0.00, grav 0.00 0.00 0.00, xpos 0.00, ypos 0.00, head 0.00
12349 - 0m :12s : 349ms :     tm 20.55, hd 32.46, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 12061, eth 16535, ori 255.31 -4.19 -164.06, gyr 0.51 0.27 0.07, lin 0.17 1.61 -0.49, mag 13.19 -40.25 38.00, accl -0.36 4.46 -10.05, grav -0.69 2.63 -9.42, xpos 2632.96, ypos 24935.68, head -0.12
12534 - 0m :12s : 534ms :     tm 20.56, hd 32.49, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 12140, eth 16593, ori 256.06 -2.50 -164.44, gyr -0.18 0.06 0.08, lin 1.06 2.84 -0.19, mag 10.19 -46.50 45.56, accl 0.63 5.46 -9.63, grav -0.42 2.61 -9.44, xpos 20772.21, ypos 73535.18, head -0.81
12714 - 0m :12s : 714ms :     tm 20.55, hd 32.43, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 12203, eth 16635, ori 256.56 -1.00 -158.75, gyr -0.51 0.02 0.00, lin 0.30 2.08 0.56, mag 6.88 -51.19 46.25, accl 0.12 5.63 -8.57, grav -0.17 3.54 -9.14, xpos 25632.21, ypos 107231.18, head -0.23
12898 - 0m :12s : 898ms :     tm 20.56, hd 32.42, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 12268, eth 16682, ori 256.69 -0.06 -152.94, gyr -0.03 0.06 0.05, lin 0.14 1.17 0.02, mag 6.19 -53.88 43.69, accl 0.12 5.63 -8.70, grav -0.01 4.46 -8.73, xpos 28002.13, ypos 127036.94, head -0.11
13076 - 0m :13s : 76ms :     tm 20.56, hd 32.43, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 12319, eth 16710, ori 257.38 0.81 -150.62, gyr -0.25 0.00 0.07, lin 0.16 1.19 -0.39, mag 4.25 -55.25 43.69, accl 0.30 5.99 -8.93, grav 0.13 4.80 -8.54, xpos 30536.85, ypos 145888.92, head -0.13
13260 - 0m :13s : 260ms :     tm 20.53, hd 32.39, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 12381, eth 16748, ori 258.06 1.12 -147.69, gyr -0.09 -0.01 0.06, lin 0.14 3.18 -1.57, mag 3.38 -55.69 41.06, accl 0.34 8.42 -9.86, grav 0.20 5.24 -8.28, xpos 32906.77, ypos 199719.96, head -0.12
13439 - 0m :13s : 439ms :     tm 20.56, hd 32.39, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 12429, eth 16788, ori 258.00 1.00 -146.62, gyr 0.03 -0.01 0.01, lin 0.16 1.35 -0.62, mag 2.00 -55.25 37.56, accl 0.24 7.01 -9.49, grav 0.17 5.38 -8.19, xpos 35470.05, ypos 221347.63, head -0.14
13623 - 0m :13s : 623ms :     tm 20.56, hd 32.41, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 12476, eth 16816, ori 258.19 0.81 -145.38, gyr -0.11 -0.04 0.03, lin 0.35 1.05 2.76, mag 3.38 -55.88 38.00, accl 0.50 6.64 -5.29, grav 0.15 5.58 -8.05, xpos 41394.85, ypos 239122.03, head -0.31
13805 - 0m :13s : 805ms :     tm 20.57, hd 32.39, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 12525, eth 16853, ori 258.00 0.62 -141.19, gyr -0.60 -0.01 -0.04, lin 0.24 1.03 -0.34, mag 3.19 -56.25 34.88, accl 0.34 7.22 -7.94, grav 0.10 6.19 -7.60, xpos 45369.73, ypos 256180.89, head -0.21
13982 - 0m :13s : 982ms :     tm 20.56, hd 32.32, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 12571, eth 16875, ori 257.81 0.44 -137.88, gyr 0.00 -0.02 -0.00, lin 0.29 0.89 -0.04, mag 3.00 -57.00 29.75, accl 0.41 7.48 -7.24, grav 0.07 6.57 -7.27, xpos 49912.43, ypos 270122.30, head -0.24
14166 - 0m :14s : 166ms :     tm 20.55, hd 32.34, he 0, iaq , tvoc 0, eco2 400, iaqr , h2 12618, eth 16910, ori 257.75 0.44 -137.12, gyr -0.03 0.00 0.00, lin -0.19 0.93 0.04, mag 3.06 -56.06 28.38, accl -0.11 7.60 -7.14, grav 0.08 6.66 -7.19, xpos 46696.11, ypos 285865.34, head 0.16
